time|position|velocity|acceleration|rotation|rotational velocity|sun|charge
13|4221814.426604348,4113572.14425047,-1871764.392448753|-5462.818593625557,6267.265429703848,1330.161945687802|0,0,0|0,0,0|0,0,0|-0.9999999999961144,-0.000002787429788716514,0|10
14|4206860.064508754,4130672.3129357398,-1868117.7909652772|-5482.223612971384,6248.285017286414,1338.7721353096706|0,0,0|0,0,0|0,0,0|-0.9999999999955396,-0.000002986531916481407,0|10
15|4192154.175479389,4147379.2170607084,-1864521.4982460737|-5501.1716710202145,6229.609850037359,1347.1929170122235|0,0,0|0,0,0|0,0,0|-0.9999999999949251,-0.000003185634044246181,0|10
16|4177096.769499712,4164374.510064513,-1860828.7902607901|-5520.435796247206,6210.478071132041,1355.7678318261478|0,0,0|0,0,0|0,0,0|-0.9999999999942709,-0.0000033847361720108296,0|10
17|4161987.701985243,4181316.4417786766,-1857112.8929570932|-5539.6282177262665,6191.27044558611,1364.3246828166832|0,0,0|0,0,0|0,0,0|-0.9999999999935771,-0.0000035838382997753435,0|10
18|4146827.2305399594,4198204.750224777,-1853373.8722213593|-5558.748573466224,6171.987380470225,1372.8633043721825|0,0,0|0,0,0|0,0,0|-0.9999999999928437,-0.0000037829404275397154,0|10
19|4131615.614267738,4215039.175173403,-1849611.794632043|-5577.796504404295,6152.629285580332,1381.383531653798|0,0,0|0,0,0|0,0,0|-0.9999999999920707,-0.000003982042555303937,0|10
20|4116658.8607414626,4231484.384751574,-1845902.6536590264|-5596.392866968973,6133.585956221761,1389.715350155498|0,0,0|0,0,0|0,0,0|-0.999999999991258,-0.0000041811446830680016,0|10
21|4101346.7479223297,4248211.359553148,-1842095.1226098607|-5615.296349057515,6114.080521890426,1398.198673541169|0,0,0|0,0,0|0,0,0|-0.9999999999904057,-0.0000043802468108319,0|10
22|4085984.271162157,4264883.685868903,-1838264.7371780402|-5634.126353911682,6094.501294864085,1406.6631161152618|0,0,0|0,0,0|0,0,0|-0.9999999999895137,-0.000004579348938595624,0|10
23|4070571.6953946236,4281501.110553932,-1834411.566658969|-5652.882534332284,6074.848695507905,1415.1085162141471|0,0,0|0,0,0|0,0,0|-0.9999999999885821,-0.000004778451066359168,0|10
24|4055109.286982538,4298063.382273651,-1830535.6810210263|-5671.5645461518725,6055.123146771779,1423.534712996569|0,0,0|0,0,0|0,0,0|-0.9999999999876109,-0.0000049775531941225214,0|10
25|4039908.0371658737,4314240.65868014,-1826715.3429598005|-5689.800630599293,6035.721743583216,1431.7736005756915|0,0,0|0,0,0|0,0,0|-0.9999999999865999,-0.000005176655321885678,0|10
26|4024347.7514638593,4330692.993184473,-1822794.6904217235|-5708.334785188419,6015.853012836919,1440.1613035435291|0,0,0|0,0,0|0,0,0|-0.9999999999855493,-0.000005375757449648629,0|10
27|4008738.4352101525,4347089.436598204,-1818851.5352219625|-5726.793763730091,5995.912608143617,1448.5293288598423|0,0,0|0,0,0|0,0,0|-0.9999999999844591,-0.0000055748595774113675,0|10
28|3993080.3603107044,4363429.744908058,-1814885.949967372|-5745.177234316707,5975.900962451744,1456.8775190516621|0,0,0|0,0,0|0,0,0|-0.9999999999833292,-0.0000057739617051738844,0|10
29|3977373.80002734,4379713.675968734,-1810898.0079174598|-5763.48486816811,5955.81851114835,1465.205717515808|0,0,0|0,0,0|0,0,0|-0.9999999999821597,-0.000005973063832936173,0|10
30|3961934.595067198,4395616.999639723,-1806968.2053700623|-5781.352458702427,5936.06943517295,1473.3478059558668|0,0,0|0,0,0|0,0,0|-0.9999999999809506,-0.000006172165960698224,0|10
31|3946132.8451344287,4411788.596735155,-1802936.2155294323|-5799.508978180238,5915.848082635962,1481.6359622377715|0,0,0|0,0,0|0,0,0|-0.9999999999797018,-0.00000637126808846003,0|10
32|3930283.432030634,4427903.106174634,-1798882.091035383|-5817.588699882664,5895.557236106356,1489.9036653631042|0,0,0|0,0,0|0,0,0|-0.9999999999784134,-0.000006570370216221584,0|10
33|3914386.6342646023,4443960.29335611,-1794805.9077026788|-5835.591307654707,5875.197340377965,1498.1507622811473|0,0,0|0,0,0|0,0,0|-0.9999999999770853,-0.000006769472343982878,0|10
34|3898442.7316254675,4459959.925599362,-1790707.7419772535|-5853.516488556614,5854.7688425320775,1506.3771008560768|0,0,0|0,0,0|0,0,0|-0.9999999999757176,-0.000006968574471743902,0|10
35|3882772.2767459815,4475583.503008053,-1786670.2865233002|-5871.007747800075,5834.682789899207,1514.4186271825356|0,0,0|0,0,0|0,0,0|-0.9999999999743103,-0.0000071676765995046516,0|10
36|3866735.936827952,4491468.4975925805,-1782528.8236397193|-5888.778712929358,5814.119787642055,1522.603419030455|0,0,0|0,0,0|0,0,0|-0.9999999999728634,-0.000007366778727265116,0|10
37|3850653.3332489002,4507295.255349687,-1778365.6098712569|-5906.471337857449,5793.489528829579,1530.767004681835|0,0,0|0,0,0|0,0,0|-0.9999999999713768,-0.0000075658808550252886,0|10
38|3834524.750740073,4523063.551348958,-1774180.724131389|-5924.085322603079,5772.792469339102,1538.9092357280365|0,0,0|0,0,0|0,0,0|-0.9999999999698506,-0.000007764982982785161,0|10
39|3818350.475235457,4538773.162631734,-1769974.2459421789|-5941.620370479877,5752.029067179744,1547.02996471798|0,0,0|0,0,0|0,0,0|-0.9999999999682847,-0.000007964085110544726,0|10
40|3802455.6305983607,4554111.432804365,-1765831.0255394871|-5958.727850096695,5731.617010818168,1554.967276655928|0,0,0|0,0,0|0,0,0|-0.9999999999666792,-0.000008163187238303976,0|10
41|3786191.7311548116,4569704.198339475,-1761582.031265785|-5976.105740657833,5710.7236095818325,1563.0450003522942|0,0,0|0,0,0|0,0,0|-0.9999999999650341,-0.0000083622893660629,0|10
42|3769882.997775173,4585237.626527293,-1757311.6850814496|-5993.403829910121,5689.7652428725505,1571.100788347537|0,0,0|0,0,0|0,0,0|-0.9999999999633492,-0.000008561391493821495,0|10
43|3753529.7210228853,4600711.502349677,-1753020.0688841296|-6010.6218344261415,5668.742376867891,1579.1344970825166|0,0,0|0,0,0|0,0,0|-0.9999999999616247,-0.00000876049362157975,0|10
44|3737132.1925846646,4616125.612806132,-1748707.2651564488|-6027.7594741446865,5647.655479717624,1587.1459839957574|0,0,0|0,0,0|0,0,0|-0.9999999999598606,-0.000008959595749337657,0|10
45|3721019.9638990248,4631173.253363108,-1744460.2414088077|-6044.476124478981,5626.928650523961,1594.975545132284|0,0,0|0,0,0|0,0,0|-0.9999999999580568,-0.00000915869787709521,0|10
46|3704535.681974421,4646468.4079402,-1740105.7319770823|-6061.453828901456,5605.716360401531,1602.9426161959802|0,0,0|0,0,0|0,0,0|-0.9999999999562134,-0.0000093578000048524,0|10
47|3688008.024092153,4661703.174459924,-1735730.284234206|-6078.350354035474,5584.441445595024,1610.887046596679|0,0,0|0,0,0|0,0,0|-0.9999999999543303,-0.000009556902132609217,0|10
48|3671437.2862488157,4676877.3480367735,-1731333.9829424694|-6095.165433345668,5563.104381780453,1618.8086978191714|0,0,0|0,0,0|0,0,0|-0.9999999999524076,-0.000009756004260365657,0|10
49|3654823.765483182,4691990.725844639,-1726916.9134245624|-6111.898803725649,5541.705646443036,1626.7074323833388|0,0,0|0,0,0|0,0,0|-0.9999999999504453,-0.00000995510638812171,0|10
50|3638501.2943910686,4706742.658553585,-1722568.1187247487|-6128.217982429045,5520.675513971958,1634.4258270197508|0,0,0|0,0,0|0,0,0|-0.9999999999484434,-0.000010154208515877367,0|10
51|3621803.9437618796,4721735.070459891,-1718110.1820067847|-6144.788806387611,5499.15608461597,1642.278785092767|0,0,0|0,0,0|0,0,0|-0.9999999999464018,-0.000010353310643632622,0|10
52|3605064.701404039,4736666.094464851,-1713631.7345977332|-6161.277157805701,5477.576417045793,1650.1084230251786|0,0,0|0,0,0|0,0,0|-0.9999999999443205,-0.000010552412771387467,0|10
53|3588283.86834059,4751535.536015213,-1709132.86400035|-6177.68278733551,5455.936995618322,1657.9146075266183|0,0,0|0,0,0|0,0,0|-0.9999999999421997,-0.000010751514899141893,0|10
54|3571461.746554273,4766343.202654688,-1704613.6582523286|-6194.0054491123665,5434.238306333843,1665.6972063764667|0,0,0|0,0,0|0,0,0|-0.9999999999400392,-0.000010950617026895893,0|10
55|3554936.300819498,4780794.598484061,-1700165.1928088432|-6209.920928741526,5412.916559078012,1673.301144057018|0,0,0|0,0,0|0,0,0|-0.9999999999378391,-0.000011149719154649459,0|10
56|3538033.321946118,4795479.391256881,-1695605.9852596456|-6226.078602697862,5391.101959503099,1681.0366574584987|0,0,0|0,0,0|0,0,0|-0.9999999999355993,-0.000011348821282402583,0|10
57|3521089.959784922,4810101.848102815,-1691026.708032957|-6242.152596975191,5369.229549766648,1688.7481975993376|0,0,0|0,0,0|0,0,0|-0.9999999999333199,-0.000011547923410155257,0|10
58|3504106.5199722094,4824661.784979429,-1686427.4512435507|-6258.142679665586,5347.2998220759855,1696.4356365809465|0,0,0|0,0,0|0,0,0|-0.9999999999310009,-0.000011747025537907473,0|10
59|3487424.161009837,4838869.690919394,-1681900.8827524579|-6273.731329566998,5325.753554830764,1703.9458216345445|0,0,0|0,0,0|0,0,0|-0.9999999999286421,-0.000011946127665659223,0|10
60|3470362.2725478658,4853305.303638323,-1677262.334271201|-6289.554596958793,5303.711795442607,1711.585167311642|0,0,0|0,0,0|0,0,0|-0.9999999999262437,-0.000012145229793410501,0|10
61|3453261.222359395,4867677.860598232,-1672604.077764691|-6305.293282634326,5281.614193494097,1719.2000372476307|0,0,0|0,0,0|0,0,0|-0.9999999999238056,-0.000012344331921161298,0|10
62|3436121.3194669117,4881987.186270949,-1667926.205340242|-6320.947168775782,5259.461246862726,1726.790307963413|0,0,0|0,0,0|0,0,0|-0.9999999999213279,-0.000012543434048911603,0|10
63|3418942.8737013997,4896233.107282046,-1663228.809592299|-6336.5160411238885,5237.253454765776,1734.3558571047513|0,0,0|0,0,0|0,0,0|-0.9999999999188106,-0.000012742536176661412,0|10
64|3402070.9019088233,4910132.429654218,-1658606.509928976|-6351.690852572923,5215.437089803835,1741.7459935590036|0,0,0|0,0,0|0,0,0|-0.9999999999162537,-0.000012941638304410716,0|10
65|3384817.0583994146,4924252.306402184,-1653870.7330525287|-6367.090779462558,5193.122181553134,1749.2622374430962|0,0,0|0,0,0|0,0,0|-0.9999999999136571,-0.000013140740432159507,0|10
66|3367525.5999399293,4938308.274657886,-1649115.7116187648|-6382.405075232983,5170.753923112898,1756.7534018619388|0,0,0|0,0,0|0,0,0|-0.9999999999110208,-0.000013339842559907778,0|10
67|3350196.8394099614,4952300.169671284,-1644341.5401063615|-6397.633539850462,5148.332818693601,1764.219368992169|0,0,0|0,0,0|0,0,0|-0.999999999908345,-0.00001353894468765552,0|10
68|3332831.090412443,4966227.828871592,-1639548.3134535889|-6412.77597686946,5125.859373674888,1771.6600221617848|0,0,0|0,0,0|0,0,0|-0.9999999999056295,-0.000013738046815402723,0|10
69|3315777.073090042,4979814.458721454,-1634832.555967088|-6427.531915296627,5103.785104845836,1778.9271913316652|0,0,0|0,0,0|0,0,0|-0.9999999999028744,-0.000013937148943149383,0|10
70|3298339.0148655064,4993614.45994713,-1630001.8819947422|-6442.503452184486,5081.209520819873,1786.3173831839006|0,0,0|0,0,0|0,0,0|-0.9999999999000796,-0.00001413625107089549,0|10
71|3280864.9068305236,5007349.753866492,-1625152.4384682546|-6457.388397391366,5058.583108820866,1793.6819202689476|0,0,0|0,0,0|0,0,0|-0.9999999998972452,-0.000014335353198641037,0|10
72|3263355.065296528,5021020.186625938,-1620284.322099301|-6472.186568797802,5035.906378541042,1801.0206905451387|0,0,0|0,0,0|0,0,0|-0.9999999998943712,-0.000014534455326386016,0|10
73|3246161.0574034415,5034354.1362691745,-1615495.5452838563|-6486.604416781347,5013.634856234505,1808.1875796062627|0,0,0|0,0,0|0,0,0|-0.9999999998914575,-0.000014733557454130418,0|10
74|3228581.3992025824,5047895.698648818,-1610590.7436888267|-6501.230252902787,4990.860003325385,1815.4750056579871|0,0,0|0,0,0|0,0,0|-0.9999999998885042,-0.000014932659581874235,0|10
75|3210966.953824665,5061371.95444791,-1605667.5599883778|-6515.768793922348,4968.036356801337,1822.7363380005943|0,0,0|0,0,0|0,0,0|-0.9999999998855111,-0.00001513176170961746,0|10
76|3193318.040016644,5074782.758591725,-1600726.0925774276|-6530.219872102005,4945.164430122153,1829.9714692935604|0,0,0|0,0,0|0,0,0|-0.9999999998824785,-0.000015330863837360086,0|10
77|3175634.9770944384,5088127.968219676,-1595766.440259499|-6544.583323323266,4922.244737608583,1837.1802933877714|0,0,0|0,0,0|0,0,0|-0.9999999998794061,-0.000015529965965102106,0|10
78|3158272.7522241254,5101142.498302495,-1590888.433597577|-6558.574335151312,4899.73759299288,1844.2193166027048|0,0,0|0,0,0|0,0,0|-0.9999999998762942,-0.00001572906809284351,0|10
79|3140523.018244287,5114357.41800222,-1585893.0682249938|-6572.763814987383,4876.724844678535,1851.375743964017|0,0,0|0,0,0|0,0,0|-0.9999999998731426,-0.00001592817022058429,0|10
80|3122740.0899156146,5127506.330620625,-1580879.8147459484|-6586.865200272079,4853.6658679729635,1858.5055549048498|0,0,0|0,0,0|0,0,0|-0.9999999998699514,-0.000016127272348324438,0|10
81|3104924.288647242,5140589.102137549,-1575848.773532662|-6600.878341306638,4830.561180283048,1865.6086480548856|0,0,0|0,0,0|0,0,0|-0.9999999998667205,-0.000016326374476063944,0|10
82|3087433.2202935554,5153345.921103861,-1570901.1925798382|-6614.52546415545,4807.874736853265,1872.5436612071535|0,0,0|0,0,0|0,0,0|-0.99999999986345,-0.000016525476603802805,0|10
83|3069553.280699369,5166297.346573624,-1565835.2292510204|-6628.36345412091,4784.681070535884,1879.5935588052573|0,0,0|0,0,0|0,0,0|-0.9999999998601399,-0.00001672457873154101,0|10
84|3051641.4287609477,5179182.244779127,-1560751.7795253554|-6642.112775229851,4761.443239064507,1886.6164437134698|0,0,0|0,0,0|0,0,0|-0.9999999998567901,-0.000016923680859278554,0|10
85|3033697.9877070775,5192000.4905774,-1555650.9452510518|-6655.773292209342,4738.161762389342,1893.612219393551|0,0,0|0,0,0|0,0,0|-0.9999999998534007,-0.000017122782987015427,0|10
86|3015723.281180801,5204751.961060399,-1550532.82863249|-6669.344873409441,4714.837161014597,1900.5807905288018|0,0,0|0,0,0|0,0,0|-0.9999999998499717,-0.000017321885114751622,0|10
87|2998078.0473096413,5217183.500416936,-1545500.405849414|-6682.558614090014,4691.937714209113,1907.3835057061783|0,0,0|0,0,0|0,0,0|-0.999999999846503,-0.000017520987242487127,0|10
88|2980042.391497071,5229802.401926661,-1540348.3730777516|-6695.953728226763,4668.529263523257,1914.2979354336437|0,0,0|0,0,0|0,0,0|-0.9999999998429947,-0.000017720089370221936,0|10
89|2961976.436955368,5242354.175122181,-1535179.364584715|-6709.259535737913,4645.079242190937,1921.1848838429494|0,0,0|0,0,0|0,0,0|-0.9999999998394468,-0.000017919191497956045,0|10
90|2943880.508805673,5254838.7060031695,-1529993.4839334667|-6722.475919376803,4621.58817258457,1928.044260505141|0,0,0|0,0,0|0,0,0|-0.9999999998358592,-0.000018118293625689445,0|10
91|2926117.7324693147,5267008.20005561,-1524895.0516476678|-6735.341106772421,4598.527603131278,1934.7396135590516|0,0,0|0,0,0|0,0,0|-0.999999999832232,-0.000018317395753422127,0|10
92|2907963.417017879,5279359.263599605,-1519676.0709276989|-6748.380099382,4574.956800520382,1941.544136210287|0,0,0|0,0,0|0,0,0|-0.999999999828565,-0.000018516497881154084,0|10
93|2889780.098701065,5291642.758396589,-1514440.5285810675|-6761.329340139171,4551.346508457196,1948.3208249622073|0,0,0|0,0,0|0,0,0|-0.9999999998248584,-0.000018715600008885302,0|10
94|2871568.1038462985,5303858.57936609,-1509188.529435299|-6774.188726158827,4527.697250647344,1955.0695943093328|0,0,0|0,0,0|0,0,0|-0.9999999998211122,-0.00001891470213661578,0|10
95|2853692.8416535677,5315764.327649067,-1504025.7052019222|-6786.703651689633,4504.4836783793935,1961.6562196493483|0,0,0|0,0,0|0,0,0|-0.9999999998173263,-0.00001911380426434551,0|10
96|2835425.030988151,5327845.853205958,-1498741.4320353204|-6799.384835881188,4480.758814379683,1968.3494611784427|0,0,0|0,0,0|0,0,0|-0.9999999998135009,-0.00001931290639207448,0|10
97|2817129.517718804,5339859.405089456,-1493441.016227648|-6811.975880065948,4456.996546636817,1975.0145358665982|0,0,0|0,0,0|0,0,0|-0.9999999998096357,-0.000019512008519802687,0|10
98|2798806.6291089067,5351804.887140328,-1488124.5637758856|-6824.476695658012,4433.1973996597935,1981.651363159803|0,0,0|0,0,0|0,0,0|-0.999999999805731,-0.00001971111064753012,0|10
99|2780456.6926147314,5363682.205439828,-1482792.1809558873|-6836.887197652055,4409.3618980769015,1988.2598637516242|0,0,0|0,0,0|0,0,0|-0.9999999998017866,-0.000019910212775256772,0|10
100|2762447.82874202,5375255.756536962,-1477551.0928321388|-6848.96178885925,4385.968340971024,1994.7086365332123|0,0,0|0,0,0|0,0,0|-0.9999999997978025,-0.000020109314902982634,0|10
101|2744045.304171068,5386997.842294912,-1472187.4824802321|-6861.193233133413,4362.0624053332585,2001.260821174952|0,0,0|0,0,0|0,0,0|-0.9999999997937788,-0.0000203084170307077,0|10
102|2725616.7085131193,5398671.497701894,-1466808.26005667|-6873.334131671301,4338.121678865415,2007.784450191393|0,0,0|0,0,0|0,0,0|-0.9999999997897155,-0.000020507519158431958,0|10
103|2707162.3698249287,5410276.637747182,-1461413.5328875752|-6885.384413660463,4314.146686345055,2014.2794492518035|0,0,0|0,0,0|0,0,0|-0.9999999997856126,-0.000020706621286155404,0|10
104|2689052.458285987,5421583.121603351,-1456111.7612300506|-6897.105708994179,4290.618454454118,2020.6167011134826|0,0,0|0,0,0|0,0,0|-0.99999999978147,-0.00002090572341387803,0|10
105|2670548.116641743,5433052.359180322,-1450686.6522666859|-6908.976375193537,4266.5771631465395,2027.0547984718905|0,0,0|0,0,0|0,0,0|-0.9999999997772878,-0.000021104825541599826,0|10
106|2652019.0101577127,5444452.841311857,-1445246.3598420224|-6920.756234847181,4242.503169238008,2033.4640517964258|0,0,0|0,0,0|0,0,0|-0.999999999773066,-0.000021303927669320785,0|10
107|2633465.4672257314,5455784.491872933,-1439790.9922370408|-6932.4452312284975,4218.396997140839,2039.844391742899|0,0,0|0,0,0|0,0,0|-0.9999999997688045,-0.0000215030297970409,0|10
108|2615259.6034334297,5466822.657805338,-1434430.210613765|-6943.812240841611,4194.742234435427,2046.069007504043|0,0,0|0,0,0|0,0,0|-0.9999999997645033,-0.000021702131924760165,0|10
109|2596658.64530781,5478017.805990434,-1428945.314476857|-6955.321174358329,4170.57389594351,2052.3918992898043|0,0,0|0,0,0|0,0,0|-0.9999999997601624,-0.00002190123405247857,0|10
110|2578034.229531136,5489143.908955353,-1423445.6671472196|-6966.739096399646,4146.374940869141,2058.685678486913|0,0,0|0,0,0|0,0,0|-0.9999999997557819,-0.000022100336180196106,0|10
111|2559386.6845678017,5500200.8994282065,-1417931.37776533|-6978.065964198808,4122.1458927531985,2064.950280741115|0,0,0|0,0,0|0,0,0|-0.9999999997513618,-0.000022299438307912762,0|10
112|2541089.9670968144,5510969.634446699,-1412513.2738269006|-6989.07791594291,4098.372733598628,2071.061222661892|0,0,0|0,0,0|0,0,0|-0.999999999746902,-0.000022498540435628537,0|10
113|2522397.595275205,5521889.592398489,-1406970.3159486623|-7000.224383805207,4074.0856446165126,2077.267869616665|0,0,0|0,0,0|0,0,0|-0.9999999997424026,-0.000022697642563343418,0|10
114|2503683.072892634,5532740.250530452,-1401413.0424251652|-7011.279690613185,4049.770020858613,2083.445155284343|0,0,0|0,0,0|0,0,0|-0.9999999997378636,-0.0000228967446910574,0|10
115|2484946.728226769,5543521.550381235,-1395841.5631612125|-7022.243807415595,4025.4263844973843,2089.593020296674|0,0,0|0,0,0|0,0,0|-0.9999999997332849,-0.000023095846818770476,0|10
116|2466564.254763053,5554019.878604747,-1390367.8371617903|-7032.900144742187,4001.5429458665626,2095.5893280737428|0,0,0|0,0,0|0,0,0|-0.9999999997286666,-0.000023294948946482636,0|10
117|2447785.670104107,5564663.685216298,-1384768.5554603857|-7043.68363340064,3977.1453833876917,2101.6787699369725|0,0,0|0,0,0|0,0,0|-0.9999999997240087,-0.00002349405107419387,0|10
118|2428986.2408489976,5575237.972399205,-1379155.3965617965|-7054.3758661754555,3952.7213617645825,2107.7386216445984|0,0,0|0,0,0|0,0,0|-0.9999999997193111,-0.000023693153201904174,0|10
119|2410166.2948330045,5585742.69045023,-1373528.4710403322|-7064.976827768802,3928.2714013143213,2113.768828803255|0,0,0|0,0,0|0,0,0|-0.9999999997145739,-0.00002389225532961354,0|10
120|2391703.158176657,5595969.772369014,-1368000.834362874|-7075.277207350229,3904.285775150098,2119.6496194528463|0,0,0|0,0,0|0,0,0|-0.999999999709797,-0.00002409135745732196,0|10
121|2372843.555548069,5606336.605476526,-1362346.977739018|-7085.697420180595,3879.7859887136888,2125.620974814239|0,0,0|0,0,0|0,0,0|-0.9999999997049805,-0.000024290459585029423,0|10
122|2353964.4121511467,5616633.734314414,-1356679.684889975|-7096.026336376841,3855.261810667351,2131.562530926699|0,0,0|0,0,0|0,0,0|-0.9999999997001244,-0.000024489561712735924,0|10
123|2335066.0551271224,5626861.117875546,-1350999.0669652442|-7106.263954115383,3830.7137589967097,2137.474238353608|0,0,0|0,0,0|0,0,0|-0.9999999996952287,-0.000024688663840441454,0|10
124|2316527.339254428,5636816.249462843,-1345419.2406533617|-7116.2082431956205,3806.6340047364256,2143.238705984349|0,0,0|0,0,0|0,0,0|-0.9999999996902933,-0.000024887765968146004,0|10
125|2297591.9035305153,5646905.424901558,-1339712.5674942583|-7126.26509772865,3782.0402088425362,2149.091172024481|0,0,0|0,0,0|0,0,0|-0.9999999996853182,-0.00002508686809584957,0|10
126|2278638.2277338766,5656924.745736754,-1333992.901231428|-7136.230668218248,3757.4240788979787,2154.9136494150875|0,0,0|0,0,0|0,0,0|-0.9999999996803034,-0.00002528597022355214,0|10
127|2260046.243305165,5666675.876000611,-1328375.129966484|-7145.908374542878,3733.279099564817,2160.590539373414|0,0,0|0,0,0|0,0,0|-0.999999999675249,-0.00002548507235125371,0|10
128|2241057.414254543,5676556.791263035,-1322630.0667946246|-7155.693239605479,3708.6202673665866,2166.3535091294134|0,0,0|0,0,0|0,0,0|-0.999999999670155,-0.000025684174478954268,0|10
129|2222051.3163812123,5686367.761774417,-1316872.3434875906|-7165.386864494691,3683.9406340718306,2172.0863612511985|0,0,0|0,0,0|0,0,0|-0.9999999996650213,-0.000025883276606653804,0|10
130|2203028.275021065,5696108.761558011,-1311102.07197608|-7174.989270470615,3659.240712479984,2177.789054906194|0,0,0|0,0,0|0,0,0|-0.999999999659848,-0.000026082378734352316,0|10
131|2184369.569146983,5705587.032762146,-1305435.1395833394|-7184.311151355014,3635.015598992754,2183.348396769367|0,0,0|0,0,0|0,0,0|-0.999999999654635,-0.000026281480862049795,0|10
132|2165313.9382218663,5715189.422233799,-1299640.3531875308|-7193.733019360157,3610.277016048949,2188.991260999289|0,0,0|0,0,0|0,0,0|-0.9999999996493825,-0.00002648058298974623,0|10
133|2146242.3313543065,5724721.776228236,-1293833.3526455737|-7203.063751099,3585.51966775412,2194.60385235326|0,0,0|0,0,0|0,0,0|-0.9999999996440903,-0.00002667968511744162,0|10
134|2127155.0725177564,5734184.077247175,-1288014.2502078665|-7212.303380731318,3560.7440633293572,2200.186134870909|0,0,0|0,0,0|0,0,0|-0.9999999996387584,-0.00002687878724513595,0|10
135|2108434.68517757,5743389.152013925,-1282299.8968022214|-7221.269866500968,3536.446748721245,2205.6273326167134|0,0,0|0,0,0|0,0,0|-0.9999999996333869,-0.000027077889372829213,0|10
136|2089317.3897303725,5752712.704792251,-1276457.1640246818|-7230.329227268046,3511.6364956524076,2211.149502311426|0,0,0|0,0,0|0,0,0|-0.9999999996279758,-0.000027276991500521403,0|10
137|2070185.405448559,5761966.164971743,-1270602.6642262442|-7239.297606668277,3486.8094980924952,2216.6412632180018|0,0,0|0,0,0|0,0,0|-0.9999999996225251,-0.000027476093628212513,0|10
138|2051422.1204324376,5770966.543313426,-1264853.9464594303|-7247.998393467824,3462.4632818741607,2221.993656292492|0,0,0|0,0,0|0,0,0|-0.9999999996170347,-0.000027675195755902534,0|10
139|2032262.0029143314,5780081.195269629,-1258976.4798366358|-7256.786770927147,3437.604619669253,2227.4251171182914|0,0,0|0,0,0|0,0,0|-0.9999999996115047,-0.00002787429788359146,0|10
140|2013088.1559424577,5789125.73362356,-1253087.5815022131|-7265.484315808038,3412.73071531981,2232.8260799405452|0,0,0|0,0,0|0,0,0|-0.999999999605935,-0.00002807340001127928,0|10
141|1993900.9005492546,5798100.155469059,-1247187.3640472076|-7274.091084251503,3387.842070766146,2238.1965172126506|0,0,0|0,0,0|0,0,0|-0.9999999996003256,-0.000028272502138965983,0|10
142|1975084.6903429937,5806827.061025393,-1241394.277663451|-7282.437703098857,3363.437380791165,2243.429904450116|0,0,0|0,0,0|0,0,0|-0.9999999995946766,-0.000028471604266651567,0|10
