time|position|velocity|acceleration|rotation|rotational velocity|sun|charge
0|4410791.865239033,3887296.983256681,-1916887.190032646|-5205.079709461966,6506.142259006087,1217.0463599839702|0,0,0|0,0,0|0,0,0|-0.9999999999999801,-0.00000019910212776572188,0|10
1|4396535.906555509,3905057.163299716,-1913548.299686767|-5225.370084503547,6488.190186368778,1225.8709404531944|0,0,0|0,0,0|0,0,0|-0.9999999999999206,-0.00000039820425553143586,0|10
2|4382224.625401527,3922768.0953813344,-1910185.3204392397|-5245.594497410528,6470.15652785397,1234.6800163180285|0,0,0|0,0,0|0,0,0|-0.9999999999998215,-0.000000597306383297134,0|10
3|4367858.255382225,3940429.4929852095,-1906798.3074276804|-5265.752545175938,6452.041646684502,1243.4734116775442|0,0,0|0,0,0|0,0,0|-0.9999999999996827,-0.0000007964085110628085,0|10
4|4353437.031798024,3958041.0711396737,-1903387.316531223|-5285.843827368622,6433.845909192046,1252.2509512435274|0,0,0|0,0,0|0,0,0|-0.9999999999995043,-0.0000009955106388284515,0|10
5|4339251.24213735,3975251.8097600355,-1900021.3366695384|-5305.468124544784,6415.935995648891,1260.8373883946715|0,0,0|0,0,0|0,0,0|-0.9999999999992862,-0.000001194612766594055,0|10
6|4324722.109253523,3992763.9107978605,-1896563.0373035648|-5325.426039756883,6397.581255440532,1269.5830188067516|0,0,0|0,0,0|0,0,0|-0.9999999999990286,-0.0000013937148943596111,0|10
7|4310138.833932511,4010225.3524737237,-1893080.9309408169|-5345.316011635931,6379.146768778636,1278.312274809767|0,0,0|0,0,0|0,0,0|-0.9999999999987312,-0.0000015928170221251118,0|10
8|4295501.658099597,4027635.856106925,-1889575.0763821441|-5365.137650252332,6360.632914130043,1287.0249836643557|0,0,0|0,0,0|0,0,0|-0.9999999999983943,-0.0000017919191498905495,0|10
9|4280810.825313226,4044995.144632765,-1886045.5331547942|-5384.890568376555,6342.040072949401,1295.7209732989568|0,0,0|0,0,0|0,0,0|-0.9999999999980176,-0.000001991021277655916,0|10
10|4266361.987485183,4061957.29303775,-1882563.656107447|-5404.181384943501,6323.742826320035,1304.2266569735016|0,0,0|0,0,0|0,0,0|-0.9999999999976013,-0.0000021901234054212037,0|10
11|4251565.638806407,4079214.364647545,-1878987.3877608099|-5423.7971047740175,6304.994728744603,1312.889037573606|0,0,0|0,0,0|0,0,0|-0.9999999999971453,-0.0000023892255331864045,0|10
12|4236716.368536174,4096419.405217125,-1875387.6124125712|-5443.342966416853,6286.168798841192,1321.5341902472796|0,0,0|0,0,0|0,0,0|-0.9999999999966497,-0.0000025883276609515105,0|10
