time|position|velocity|acceleration|rotation|rotational velocity|rotational acceleration|sun|charge
30|3466126.129230708,3968050.8422205,-1592379.9206944937|-6426.41286157808,6544.342363304173,1642.8297754658547|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999809506,-0.000006172165960698224,0|10
31|3450165.559630065,3984249.2043864164,-1588294.6162359167|-6446.908144493856,6520.777046096853,1652.2551763078116|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999797018,-0.00000637126808846003,0|10
32|3434155.2898882926,4000388.021397901,-1584186.2294875823|-6467.301845532498,6497.123838280071,1661.6531436959183|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999784134,-0.000006570370216221584,0|10
33|3418095.6110200873,4016467.051101559,-1580054.8399495797|-6487.593519719691,6473.383409080249,1671.0234581485788|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999770853,-0.000006769472343982878,0|10
34|3401986.815404305,4032486.053392037,-1575900.5277945246|-6507.782727561167,6449.556431310858,1680.3659017729008|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999757176,-0.000006968574471743902,0|10
35|3385829.196767469,4048444.7902228627,-1571723.3738627809|-6527.86903507138,6425.643581312607,1689.6802582804075|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999743103,-0.0000071676765995046516,0|10
36|3369623.050167184,4064343.025617111,-1567523.4596576341|-6547.852013801428,6401.645538893299,1698.9663130025237|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999728634,-0.000007366778727265116,0|10
37|3353368.671975476,4080180.5256779,-1563300.8673404243|-6567.7312408662765,6377.562987267346,1708.2238529058409|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999713768,-0.0000075658808550252886,0|10
38|3337066.359862025,4095957.0585987,-1559055.679725622|-6587.506298971238,6353.396612994999,1717.4526666071524|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999698506,-0.000007764982982785161,0|10
39|3320716.4127773372,4111672.394673489,-1554787.9802758682|-6607.1767764377155,6329.147105921248,1726.652544388263|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999682847,-0.000007964085110544726,0|10
40|3304319.1309358217,4127326.3063066974,-1550497.853096962|-6626.74226722823,6304.815159114438,1735.8232782105642|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999666792,-0.000008163187238303976,0|10
41|3287874.815798802,4142918.5680230157,-1546185.3829328103|-6646.202370970685,6280.401468804625,1744.9646617293788|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999650341,-0.0000083622893660629,0|10
42|3271383.770057428,4158448.9564769864,-1541850.6551603274|-6665.55669298192,6255.906734321621,1754.076490308071|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999633492,-0.000008561391493821495,0|10
43|3254846.2976155356,4173917.250462441,-1537493.7557842946|-6684.804844290489,6231.331658032825,1763.1585610319166|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999616247,-0.00000876049362157975,0|10
44|3238262.703572423,4189323.230921743,-1533114.7714321755|-6703.946441658725,6206.676945280768,1772.210672721739|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999598606,-0.000008959595749337657,0|10
45|3221633.294205553,4204666.680954861,-1528713.7893488929|-6722.981107604032,6181.943304320464,1781.2326259473025|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999580568,-0.00000915869787709521,0|10
46|3204958.3769531907,4219947.385828253,-1524290.8973915582|-6741.908470419449,6157.131446256499,1790.224223040462|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999999562134,-0.0000093578000048524,0|10
