time|position|velocity|acceleration|rotation|rotational velocity|rotational acceleration|sun|charge
1267|-7404674.988348736,-528047.3972985046,2652991.9693051754|-240.2053214948014,-6524.3496713591185,699.0581476302941|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999681315305,-0.00025246149532507164,0|9.848472222222304
1268|-7404860.318846353,-533130.79773755,2653535.9942900473|-235.51180872402824,-6524.013357474061,697.3763759778052|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999968081245,-0.00025266059744648723,0|9.848333333333414
1269|-7405037.874658385,-538097.5711850908,2654066.2993964935|-230.92683640849668,-6523.681717690476,695.7332040148508|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999680309198,-0.00025285969956789284,0|9.848194444444525
1270|-7405215.734996306,-543173.4830722557,2654606.992670626|-226.24199071176417,-6523.339685262768,694.0539407298035|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999967980555,-0.00025305880168928843,0|9.848055555555636
1271|-7405386.003176868,-548132.9402322692,2655134.0464651827|-221.66548117771072,-6523.002469168359,692.413218710096|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999679301506,-0.000253257903810674,0|9.847916666666748
1272|-7405556.427111553,-553201.3755459399,2655671.421024669|-216.9892786547141,-6522.65474914387,690.7364583050783|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999678797065,-0.0002534570059320495,0|9.847777777777859
1273|-7405719.440581312,-558153.5281465084,2656195.2361860108|-212.42120855818416,-6522.311986901299,689.0981808630203|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999678292227,-0.00025365610805341496,0|9.84763888888897
1274|-7405882.46169424,-563214.4988973818,2656729.304968469|-207.75362536027433,-6521.95861003082,687.4239178504034|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999677786994,-0.00025385521017477037,0|9.84750000000008
1275|-7406038.253203175,-568159.358697853,2657249.894118208|-203.1939714078901,-6521.610331612599,685.7880796202661|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999677281364,-0.0002540543122961157,0|9.847361111111192
1276|-7406193.90490167,-573212.8769282701,2657780.670003011|-198.53498373820025,-6521.251328453072,684.1163085123657|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999676775337,-0.000254253414417451,0|9.847222222222303
1277|-7406342.507029892,-578150.455718586,2658298.0457059206|-193.98372268729509,-6520.897563642787,682.4829041284518|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999676268915,-0.0002544525165387762,0|9.847083333333414
1278|-7406489.1949224835,-583140.4866192457,2658819.6895405347|-189.38495431638285,-6520.537031154806,680.8321601475408|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999675762096,-0.00025465161866009136,0|9.846944444444524
1279|-7406632.267706537,-588126.8431018756,2659339.716278667|-184.7904154596663,-6520.173742952023,679.1826435345046|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999967525488,-0.0002548507207813964,0|9.846805555555637
1280|-7406770.186508839,-593053.5633201879,2659852.313159534|-180.25165340105968,-6519.811834478849,677.5528662466099|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999674747269,-0.00025504982290269133,0|9.846666666666748
1281|-7406907.600537469,-598088.5448004545,2660374.931051791|-175.6140028913203,-6519.438929122519,675.8872869859779|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999967423926,-0.00025524892502397617,0|9.846527777777858
1282|-7407038.410491304,-603008.0135462929,2660884.345580931|-171.0835759800018,-6519.071607733277,674.259930161384|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999673730856,-0.0002554480271452508,0|9.84638888888897
1283|-7407165.717786734,-607923.9016855401,2661392.191384752|-166.55726129252366,-6518.70162106866,672.6337679887134|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999673222055,-0.00025564712926651537,0|9.846250000000081
1284|-7407292.3035862455,-612947.8139903997,2661909.959672251|-161.93232342345414,-6518.320476188321,670.971881905734|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999672712858,-0.0002558462313877698,0|9.846111111111192
1285|-7407412.5497813905,-617856.468438213,2662414.641586106|-157.4143094351616,-6517.945120075122,669.3481321802481|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999672203265,-0.00025604533350901407,0|9.845972222222303
1286|-7407530.623767889,-622817.2701471569,2662923.4722190076|-152.84911964816342,-6517.562809454547,667.7071418103192|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999671693274,-0.0002562444356302482,0|9.845833333333415
1287|-7407645.147094936,-627774.4214373867,2663430.7106744736|-148.28811287908616,-6517.177801790778,666.0673679886586|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999671182886,-0.0002564435377514722,0|9.845694444444526
1288|-7407754.900423363,-632672.2882352241,2663930.687406722|-143.7824604782022,-6516.794475400563,664.4472133853654|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999670672103,-0.000256642639872686,0|9.845555555555636
1289|-7407862.386036692,-637622.1886940687,2664434.7685795724|-139.22975551591253,-6516.4041254809945,662.8098549619133|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999670160923,-0.0002568417419938896,0|9.845416666666747
1290|-7407966.344793408,-642568.4477816597,2664937.2667956036|-134.68121625830395,-6516.011100121185,661.1737090349951|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999669649347,-0.00025704084411508305,0|9.84527777777786
1291|-7408065.675597009,-647455.5536663323,2665432.565594893|-130.18787428104315,-6515.619867294841,659.5571375802991|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999669137374,-0.00025723994623626635,0|9.84513888888897
1292|-7408161.573738608,-652339.1054501515,2665926.32277428|-125.69859369157143,-6515.226032756304,657.941748892991|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999668625005,-0.00025743904835743946,0|9.84500000000008
1293|-7408256.108752814,-657329.9739286315,2666429.7102146097|-121.11147908118687,-6514.8205635446975,656.290868855773|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999668112239,-0.0002576381504786023,0|9.844861111111191
1294|-7408345.0868273685,-662206.3457226192,2666920.358145662|-116.63039653616761,-6514.421487522774,654.6778685801368|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999667599078,-0.000257837252599755,0|9.844722222222304
1295|-7408430.655210707,-667079.1723077036,2667409.473370256|-112.15335854764385,-6514.019830579157,653.0660471130553|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999966708552,-0.0002580363547208974,0|9.844583333333414
1296|-7408512.82146283,-671948.4566314972,2667897.0588239185|-107.68035955998403,-6513.61559954878,651.4554031452128|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999666571565,-0.0002582354568420296,0|9.844444444444525
1297|-7408593.343996659,-676924.7456480644,2668394.146500336|-103.1098734581999,-6513.199526045931,649.809370213664|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999666057214,-0.0002584345589631515,0|9.844305555555636
1298|-7408668.65169685,-681786.8739662417,2668878.646591795|-98.64502730946833,-6512.7901091476115,648.2011040037762|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999665542467,-0.0002586336610842632,0|9.844166666666748
1299|-7408740.579999345,-686645.468950382,2669361.625745677|-94.18420340661396,-6512.37813869327,646.594011336651|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999665027324,-0.00025883276320536465,0|9.844027777777859
1300|-7408809.136386032,-691500.5335594993,2669843.08687112|-89.72739621929213,-6511.963621432437,644.988090903817|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999664511784,-0.00025903186532645584,0|9.84388888888897
1301|-7408875.049832175,-696407.1816014021,2670328.4781072214|-85.22402329753709,-6511.541810235246,643.3651123307338|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999663995848,-0.0002592309674475368,0|9.843694444444527
1302|-7408937.529625608,-701310.2246727583,2670812.3225830705|-80.72474754074506,-6511.117407841573,641.7433300937626|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999663479514,-0.00025943006956860744,0|9.843500000000082
1303|-7408995.938922575,-706154.6359390076,2671289.212743176|-76.28004822973935,-6510.695233101105,640.1409450526298|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999662962784,-0.00025962917168966784,0|9.84330555555564
1304|-7409051.006206791,-710995.5287609205,2671764.5965117086|-71.83934345088937,-6510.27053849358,638.5397269845776|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999662445658,-0.00025982827381071795,0|9.843111111111195
1305|-7409102.738863662,-715832.9061109563,2672238.476765156|-67.4026277055475,-6509.843330663404,636.939674582375|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999661928135,-0.00026002737593175775,0|9.842916666666751
1306|-7409151.14425952,-720666.7709641384,2672710.85637354|-62.96989550139165,-6509.413616234251,635.3407865390624|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999661410216,-0.00026022647805278726,0|9.842722222222308
1307|-7409196.7230274575,-725551.9965439995,2673187.0805344763|-58.4908374390443,-6508.97647594102,633.7249122604592|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999660891901,-0.00026042558017380646,0|9.842527777777864
1308|-7409238.913581271,-730433.6354724357,2673661.7756356304|-54.01584268737861,-6508.5367853201,632.1102262658171|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999660373189,-0.0002606246822948153,0|9.842333333333421
1309|-7409277.306166996,-735256.9011188764,2674129.636586871|-49.59511831400164,-6508.099534186463,630.5148498186838|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999659854081,-0.0002608237844158138,0|9.842138888888977
1310|-7409312.400932749,-740076.6662615212,2674596.0083733588|-45.178355451686,-6507.659802890943,628.9206324757865|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999659334576,-0.00026102288653680195,0|9.841944444444533
1311|-7409344.205149779,-744892.9338878267,2675060.89383286|-40.76554863993988,-6507.217597954054,627.327572931638|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999658814676,-0.00026122198865777973,0|9.841805555555645
1312|-7409372.726070533,-749705.7069876133,2675524.2957967534|-36.35669242464064,-6506.772925875965,625.7356698810732|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999658294378,-0.00026142109077874717,0|9.841666666666756
1313|-7409397.970928716,-754514.9885530558,2675986.2170900498|-31.95178135800893,-6506.325793136556,624.1449220192467|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999657773685,-0.00026162019289970425,0|9.841527777777866
1314|-7409419.946939328,-759320.7815786321,2676446.660531401|-27.55080999863094,-6505.876206195495,622.5553280416465|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999657252595,-0.00026181929502065097,0|9.841388888888979
1315|-7409438.661298712,-764123.0890610991,2676905.628933115|-23.15377291145569,-6505.424171492288,620.9668866440984|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999656731109,-0.00026201839714158734,0|9.84125000000009
1316|-7409454.121184593,-768921.9139994571,2677363.125101165|-18.76066466780344,-6504.969695446352,619.3795965227753|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999656209226,-0.0002622174992625133,0|9.8411111111112
1317|-7409466.333756129,-773717.2593949272,2677819.1518352055|-14.37147984535818,-6504.512784457068,617.7934563742008|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999655686947,-0.00026241660138342886,0|9.84097222222231
1318|-7409475.389521196,-778563.561340135,2678278.8689670544|-9.93640294423517,-6504.048211205265,616.1904602241326|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999655164272,-0.000262615703504334,0|9.840833333333423
1319|-7409481.092169101,-783351.917207476,2678731.948588118|-5.555093153036523,-6503.586421959049,614.6066291428566|0,0,0|0,0,0|0,0,0|0,0,0|-0.99999996546412,-0.0002628148056252288,0|9.840694444444534
1320|-7409483.568949795,-788136.8025827378,2679183.5671679117|-1.1776904930175078,-6503.122216920009,613.0239441112985|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999965411773,-0.0002630139077461131,0|9.840555555555644
1321|-7409482.8269484015,-792918.2204757044,2679633.7274808683|3.1958104325401564,-6502.655602407803,611.4424038274705|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999653593865,-0.00026321300986698704,0|9.840416666666755
1322|-7409478.873231698,-797696.1738982177,2680082.4322951664|7.565415013965094,-6502.1865847223735,609.862006989774|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999653069603,-0.00026341211198785056,0|9.840277777777867
1323|-7409471.71484816,-802470.6658641351,2680529.6843727394|11.931128635186042,-6501.715170144003,608.2827522970086|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999652544945,-0.00026361121410870355,0|9.840138888888978
1324|-7409461.358828015,-807241.6993893334,2680975.4864692935|16.29295667375459,-6501.241364933381,606.7046384483701|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999652019891,-0.0002638103162295461,0|9.840000000000089
1325|-7409447.812183273,-812009.2774916308,2681419.841334316|20.650904500804018,-6500.765175331654,605.1276641434697|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999965149444,-0.0002640094183503782,0|9.8398611111112
1326|-7409431.08190778,-816773.4031908042,2681862.7517110896|25.004977481087735,-6500.286607560499,603.5518280823275|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999650968593,-0.00026420852047119987,0|9.839722222222312
1327|-7409411.419010522,-821480.0002787884,2682299.211736283|29.30576855830691,-6499.811146347378,601.9950168918748|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999650442349,-0.00026440762259201107,0|9.839583333333422
1328|-7409388.378362879,-826237.2693847595,2682739.257678837|33.65215179426309,-6499.327867674061,600.4214405222592|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999964991571,-0.00026460672471281176,0|9.839444444444533
1329|-7409362.174878691,-830991.0951238221,2683177.8672949597|37.99467617853634,-6498.842229310172,598.8489985137917|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999649388673,-0.000264805826833602,0|9.839305555555644
1330|-7409332.815479783,-835741.4805231648,2683615.0433033127|42.333347050309385,-6498.3542374003155,597.2776895682217|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999648861241,-0.0002650049289543817,0|9.839166666666756
1331|-7409300.307070019,-840488.4286117719,2684050.788416413|46.66816974236417,-6497.86389806992,595.7075123877428|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999648333412,-0.0002652040310751509,0|9.839027777777867
1332|-7409264.656535365,-845231.9424203737,2684485.105340651|50.99914958104773,-6497.371217425297,594.1384656750098|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999647805187,-0.00026540313319590964,0|9.838888888888977
1333|-7409225.870743925,-849972.0249814347,2684917.996776298|55.32629188630494,-6496.87620155371,592.570548133134|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999647276565,-0.00026560223531665785,0|9.83875000000009
1334|-7409183.956545982,-854708.6793291222,2685349.4654175225|59.64960197165124,-6496.378856523424,591.0037584656973|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999646747547,-0.00026580133743739554,0|9.8386111111112
1335|-7409138.920774048,-859441.9084992695,2685779.513952403|63.96908514417987,-6495.8791883837675,589.4380953767557|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999646218132,-0.00026600043955812266,0|9.838472222222311
1336|-7409090.770242904,-864171.7155293655,2686208.145062936|68.28474670457103,-6495.377203165193,587.8735575708417|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999964568832,-0.0002661995416788392,0|9.838333333333422
1337|-7409040.111665461,-868844.4136993831,2686630.5146307163|72.54761512318737,-6494.878650478466,586.327903510191|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999645158112,-0.0002663986437995452,0|9.838194444444534
1338|-7408986.421911135,-873513.7729719541,2687051.5040006987|76.80675857523875,-6494.377844741299,584.7833467866916|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999644627507,-0.0002665977459202406,0|9.838055555555645
1339|-7408929.038067139,-878233.4093575573,2687475.9308721875|81.11107347463144,-6493.868996466869,583.2221515899917|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999644096507,-0.0002667968480409255,0|9.837916666666755
1340|-7408868.566393509,-882949.6356996995,2687898.9509264426|85.41158778047429,-6493.357854912592,581.6620765287813|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999964356511,-0.0002669959501615998,0|9.837777777777866
1341|-7408805.013617404,-887662.4550436173,2688320.5668153884|89.70830676143169,-6492.844426015833,580.10312031008|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999643033316,-0.0002671950522822635,0|9.837638888888979
1342|-7408738.38644852,-892371.8704360191,2688740.7811849476|94.00123567973151,-6492.328715695432,578.5452816414244|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999642501126,-0.0002673941544029166,0|9.83750000000009
1343|-7408669.500773434,-897024.4265800812,2689154.8452561605|98.24166075785092,-6491.816628814797,577.0062429927666|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999964196854,-0.0002675932565235592,0|9.8373611111112
1344|-7408597.623172164,-901673.6616216729,2689567.5446052053|102.47839163119102,-6491.302323517321,575.468294128962|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999641435557,-0.0002677923586441911,0|9.83722222222231
1345|-7408521.882252597,-906372.9605748947,2689983.601876254|106.76006759227016,-6490.7798556391235,573.9137750644206|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999640902179,-0.0002679914607648124,0|9.837083333333423
1346|-7408443.093454376,-911068.8677082945,2690398.2680922765|111.03797435632464,-6490.255129695862,572.3603684146656|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999640368403,-0.0002681905628854231,0|9.836944444444534
1347|-7408361.2634008415,-915761.3860755119,2690811.5458694897|115.31211715353152,-6489.728151515011,570.8080728898952|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999639834232,-0.00026838966500602313,0|9.836805555555644
1348|-7408278.361094011,-920343.9851120141,2691214.0920085977|119.48548872863603,-6489.210979642881,569.2921291053528|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999639299664,-0.00026858876712661256,0|9.836666666666755
1349|-7408190.537077537,-925029.8119576446,2691624.6321411696|123.75220450646248,-6488.679565255964,567.7420267833987|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999638764699,-0.00026878786924719136,0|9.836527777777867
1350|-7408099.691423442,-929712.259136336,2692033.7915890603|128.0151718509935,-6488.145915873975,566.1930317496124|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999638229339,-0.0002689869713677594,0|9.836388888888978
1351|-7408005.830686822,-934391.32970681,2692441.5729449713|132.27439596679187,-6487.610037252383,564.645142716414|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999637693582,-0.00026918607348831687,0|9.836250000000089
1352|-7407911.196343523,-938960.7983296806,2692838.7575557074|136.43320793332805,-6487.084189373342,563.1335003270456|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999637157427,-0.00026938517560886363,0|9.8361111111112
1353|-7407811.3931944575,-943633.2014326677,2693243.8216564497|140.68504595919262,-6486.543919807928,561.5877943709829|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999636620877,-0.0002695842777293997,0|9.835972222222312
1354|-7407708.594378345,-948302.2370411366,2693647.515349611|144.93315621354873,-6486.00143803239,560.043190585457|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999636083929,-0.0002697833798499251,0|9.835833333333422
1355|-7407605.243803878,-952861.907578002,2694040.712606719|149.08112182227842,-6485.469153473437,558.5347550802347|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999635546586,-0.00026998248197043984,0|9.835694444444533
1356|-7407496.540816403,-957524.2937493378,2694441.7041875655|153.3218764933656,-6484.922314269705,556.9923268039234|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999635008846,-0.00027018158409094383,0|9.835555555555645
1357|-7407384.861427277,-962183.3215498998,2694841.3329934124|157.55891879302908,-6484.373279727562,555.4509968733244|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999963447071,-0.00027038068621143714,0|9.835416666666756
1358|-7407271.53156652,-966786.1075131748,2695235.083428182|161.74416860559268,-6483.828331669835,553.9282604934971|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999633932177,-0.0002705797883319197,0|9.835277777777867
1359|-7407155.305061413,-971385.6169601353,2695627.5068389755|165.92579996218046,-6483.281248813718,552.4065951447095|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999633393248,-0.00027077889045239157,0|9.835138888888977
1360|-7407034.802161075,-976034.664135424,2696023.093379294|170.15182004372537,-6482.72571142551,550.8685276921465|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999632853923,-0.0002709779925728527,0|9.83500000000009
1361|-7406914.18685532,-980574.8181668004,2696408.3824028354|174.27822719508708,-6482.180700322614,549.3664725846926|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999632314202,-0.00027117709469330305,0|9.8348611111112
1362|-7406787.855380889,-985217.2520218687,2696801.2968107397|178.4969523676407,-6481.620871608842,547.8305655372226|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999631774084,-0.0002713761968137427,0|9.834722222222311
1363|-7406658.585589693,-989856.3457810783,2697192.8635546216|182.7119957974494,-6481.0588808326065,546.2957492020693|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999631233569,-0.0002715752989341716,0|9.834583333333422
1364|-7406529.420919928,-994386.7814455631,2697574.2313994635|186.82769051662171,-6480.507578960276,544.796867639888|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999630692659,-0.0002717744010545897,0|9.834444444444534
1365|-7406394.359915104,-999019.2799685132,2697963.1408492373|191.03546920503732,-6479.941329451168,543.2642041741688|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999630151352,-0.000271973503174997,0|9.834305555555645
1366|-7406257.963751504,-1003595.8620677745,2698346.313436674|195.19182795404777,-6479.379405354933,541.7500257909211|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999629609648,-0.00027217260529539356,0|9.834166666666755
1367|-7406118.7201451175,-1008169.1914655195,2698728.178541253|199.34460797551878,-6478.815389383293,540.236908514906|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999629067549,-0.0002723717074157793,0|9.834027777777866
1368|-7405974.985502743,-1012791.7819054798,2699113.1052499786|203.54148546296165,-6478.242767776642,538.7074772982647|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999628525053,-0.0002725708095361543,0|9.833888888888978
1369|-7405831.714834233,-1017306.1040454791,2699487.9959404|207.63945152579845,-6477.681102900611,537.2138523486384|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999627982159,-0.0002727699116565184,0|9.833750000000089
1370|-7405682.250510395,-1021922.1293763993,2699870.289825829|211.82911422388247,-6477.104276131227,535.6865614863193|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999627438869,-0.00027296901377687176,0|9.8336111111112
1371|-7405533.3922868045,-1026430.0414938384,2700242.612269602|215.92003917422676,-6476.538512014197,534.195025809828|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999626895183,-0.0002731681158972143,0|9.83347222222231
1372|-7405378.222616431,-1031039.513749519,2700622.283020737|220.10250693058106,-6475.95750123036,532.6698703162543|0,0,0|0,0,0|0,0,0|0,0,0|-0.99999996263511,-0.000273367218017546,0|9.833333333333423
1373|-7405223.800558259,-1035541.0276074234,2700992.0466653397|224.1864101406302,-6475.387658476168,531.1804190431801|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999625806621,-0.0002735663201378669,0|9.833194444444533
1374|-7405062.949750845,-1040143.9588271336,2701369.1039275983|228.36170275304812,-6474.80248469579,529.6573939380145|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999625261746,-0.0002737654222581769,0|9.833055555555644
1375|-7404901.111364212,-1044691.3365711872,2701740.5807160432|232.4859890463856,-6474.221898752463,528.1527332205418|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999624716475,-0.0002739645243784761,0|9.832916666666756
1376|-7404736.47959651,-1049235.488421857,2702110.7715534046|236.60674076277974,-6473.63926789269,526.6491225120019|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999624170807,-0.00027416362649876444,0|9.832777777777867
1377|-7404569.060369683,-1053776.417357223,2702479.6788021936|240.7239627707811,-6473.054597247281,525.1465605841015|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999623624742,-0.00027436272861904184,0|9.832638888888978
1378|-7404398.8595903795,-1058314.1263559116,2702847.304819593|244.8376599327828,-6472.467891931209,523.6450462092204|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999623078282,-0.0002745618307393084,0|9.832500000000088
1379|-7404225.883149989,-1062848.6183970985,2703213.6519574756|248.94783710503566,-6471.8791570436515,522.1445781604103|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999622531425,-0.00027476093285956404,0|9.8323611111112
1380|-7404050.136924683,-1067379.8964604642,2703578.7225624076|253.05449913762664,-6471.288397668046,520.6451552114065|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999621984171,-0.0002749600349798088,0|9.832222222222311
1381|-7403873.69429625,-1071855.9350089803,2703938.344637665|257.11050813486327,-6470.70244387493,519.1639929589037|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999621436522,-0.00027515913710004266,0|9.832083333333422
1382|-7403690.35854811,-1076432.8225749359,2704305.043533248|261.2572971534539,-6470.1008257079875,517.6494397111688|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999620888476,-0.00027535823922026563,0|9.831944444444533
1383|-7403508.468865069,-1080902.5217499747,2704662.153412676|265.3063805413087,-6469.5108944071435,516.1703375921444|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999620340033,-0.0002755573413404777,0|9.831805555555645
1384|-7403319.571166996,-1085472.9285463488,2705026.286399025|269.4460926580314,-6468.905216405443,514.657889912116|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999619791194,-0.0002757564434606788,0|9.831666666666756
1385|-7403132.257424952,-1089936.3001369676,2705380.8932777075|273.48826951678416,-6468.311327450173,513.1808430887786|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999619241958,-0.00027595554558086904,0|9.831527777777866
1386|-7402940.046444156,-1094448.393652825,2705738.3681664127|277.57398226262853,-6467.708549917621,511.6876531042697|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999618692326,-0.0002761546477010483,0|9.831388888888977
1387|-7402745.106322287,-1098957.2940270905,2706094.582774076|281.656213592114,-6467.103782987149,510.19549966909995|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999618142297,-0.00027635374982121663,0|9.83125000000009
1388|-7402549.730259676,-1103411.2325825072,2706445.466582008|285.68810580096897,-6466.504017026897,508.72151497397977|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999617591872,-0.000276552851941374,0|9.8311111111112
1389|-7402347.061664022,-1107965.5272834436,2706803.2403594847|289.81025119985543,-6465.888300754627,507.2142975647215|0,0,0|0,0,0|0,0,0|0,0,0|-0.999999961704105,-0.0002767519540615204,0|9.83097222222231
1390|-7402146.318382942,-1112413.1676725224,2707151.643921252|293.83528425894883,-6465.284626127178,505.7423561229325|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999616489832,-0.0002769510561816559,0|9.830833333333421
1391|-7401940.550180439,-1116909.3618629673,2707502.8547661914|297.90367764040684,-6464.671973657656,504.25432483399607|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999615938218,-0.0002771501583017803,0|9.830694444444534
1392|-7401732.081402391,-1121402.377795986,2707852.8167749476|301.9686134942524,-6464.057356378163,502.76732401211814|0,0,0|0,0,0|0,0,0|0,0,0|-0.9999999615386207,-0.00027734926042189377,0|9.830555555555645
1393|-7401523.36018793,-1125840.6291198933,2708197.5310759023|305.9834324745127,-6463.447877382573,501.29842673056794|0,0,0|0,0,0|0,0,0|0,0,0|-0.99999996148338,-0.0002775483625419962,0|9.830416666666755
